target,region_or_global,best_model,rmse,mae,r2,selected_for_final_system
PM2.5,Global,LightGBM boosted trees,2.58,0.94,0.978,Yes
PM10,Global,LightGBM boosted trees,14.87,3.07,0.883,Yes
SO2,Global,LightGBM boosted trees,6.06,0.55,0.245,Yes; monitor SO2 spike RMSE
PM10,AIIMS,LightGBM boosted trees,8.40,3.33,0.969,Yes via best strategy selector
PM2.5,AIIMS,LightGBM boosted trees,2.64,1.06,0.984,Yes via best strategy selector
SO2,AIIMS,XGBoost boosted trees,5.05,0.58,0.361,Yes via best strategy selector
PM10,BHATAGAON,LightGBM boosted trees,23.79,3.65,0.739,Yes via best strategy selector
PM2.5,BHATAGAON,LightGBM boosted trees,2.87,0.97,0.965,Yes via best strategy selector
SO2,BHATAGAON,LightGBM boosted trees,1.07,0.41,0.836,Yes via best strategy selector
PM10,IGKV,LightGBM boosted trees,5.00,1.93,0.975,Yes via best strategy selector
PM2.5,IGKV,LightGBM boosted trees,2.17,0.78,0.980,Yes via best strategy selector
SO2,IGKV,LightGBM boosted trees,9.38,0.64,0.140,Use with caution; high spike RMSE
PM10,SILTARA,LightGBM boosted trees,13.18,6.27,0.935,Yes via best strategy selector
PM2.5,SILTARA,LightGBM boosted trees,2.56,1.06,0.941,Yes via best strategy selector
SO2,SILTARA,XGBoost boosted trees,2.12,0.95,0.683,Yes via best strategy selector
